Round,Counsel. Rank,Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Penalty,Bond Years,Beds (Inst.)
2,28464,Tel Govt-NS LOC,MIN-GEN-MSM,Telangana,DCMS Hyderabad,ORTHOPAEDICS,775000,Info not available,2000000,1,1400
2,28469,Tel Govt-NS LOC,BCE-GEN,Telangana,Bhaskar Med Coll Yenkapally,TBRD,750000,Info not available,2000000,1,850
2,28495,Tel Govt-NS LOC,BCD-GEN,Telangana,Malla Reddy(Women) Hyderabad,ORTHOPAEDICS,700000,Info not available,2000000,1,1050
2,28529,Tel Govt-NS LOC,ST-GEN,Telangana,Osmania Med Coll Hyderabad,OBG,10000, 50686,2000000,1,4800
2,28536,Tel Govt-NS UNR,BCB-FEM,Telangana,SVS Med Coll Mehboobnagar,ENT,750000,Info not available,2000000,1,760
2,28670,Tel Govt-NS LOC,SC-GEN,Telangana,Kamineni (KAMSRC) Hyderabad,OBG,700000,Info not available,2000000,1,650
2,28734,Tel Govt-NS UNR,SC-GEN,Telangana,Osmania Med Coll Hyderabad,ANAESTHESIOLOGY,10000, 50686,2000000,1,4800
2,28742,Tel Govt-NS LOC,BCB-GEN,Telangana,SVS Med Coll Mehboobnagar,ANAESTHESIOLOGY,750000,Info not available,2000000,1,760
2,28904,Tel Govt-NS LOC,SC-FEM,Telangana,Osmania Med Coll Hyderabad,ANAESTHESIOLOGY,10000, 50686,2000000,1,4800
2,28911,Tel Govt-NS LOC,BCE-FEM,Telangana,Mediciti IMS Ghanpur,OBG,700000,Info not available,2000000,1,720
2,28969,Tel Govt-NS LOC,OPEN-GEN,Telangana,MNR Med Coll Sangareddy,ENT,700000,Info not available,2000000,1,760
2,29122,Tel Govt-NS LOC,SC-FEM,Telangana,SVS Med Coll Mehboobnagar,DERMATOLOGY,750000,Info not available,2000000,1,760
2,29137,Tel Govt-NS LOC,BCB-FEM,Telangana,Malla Reddy IMS Hyderabad,ANAESTHESIOLOGY,700000,Info not available,2000000,1,940
2,29141,Tel Govt-NS LOC,SC-FEM,Telangana,Bhaskar Med Coll Yenkapally,OPHTHALMOLOGY,750000,Info not available,2000000,1,850
2,29209,Tel Govt-NS LOC,SC-GEN,Telangana,Malla Reddy IMS Hyderabad,OBG,700000,Info not available,2000000,1,940
2,29305,Tel Govt-NS LOC,OPEN-GEN,Telangana,Prathima IMS Karimnagar,ANAESTHESIOLOGY,750000,Info not available,2000000,1,1060
2,29374,Tel Govt-NS LOC,OPEN-FEM,Telangana,Mediciti IMS Ghanpur,ANAESTHESIOLOGY,700000,Info not available,2000000,1,720
2,29397,Tel Govt-NS LOC,OPEN-GEN,Telangana,Mediciti IMS Ghanpur,ORTHOPAEDICS,700000,Info not available,2000000,1,720
2,29441,Tel Govt-NS LOC,OPEN-GEN,Telangana,Prathima IMS Karimnagar,ANAESTHESIOLOGY,750000,Info not available,2000000,1,1060
2,29483,Tel Govt-NS UNR,BCE-FEM,Telangana,Rajiv Gandhi IMS Adilabad,ANAESTHESIOLOGY,10000, 50686,2000000,1,Info Not Available
2,29498,Tel Govt-NS LOC,SC-FEM,Telangana,Govt Med Coll Siddipet,GENERAL SURGERY,10000, 50686,2000000,1,-
2,29867,Tel Govt-NS LOC,OPEN-GEN,Telangana,Osmania Med Coll Hyderabad,DO,10000, 50686,1000000,1,4800
2,29893,Tel Govt-NS LOC,SC-GEN,Telangana,Gandhi Med Coll Secunderabad,ANAESTHESIOLOGY,10000, 50686,2000000,1,1200
2,30047,Tel Govt-NS LOC,BCE-FEM,Telangana,Malla Reddy IMS Hyderabad,ANAESTHESIOLOGY,700000,Info not available,2000000,1,940
2,30129,Tel Govt-NS UNR,OPEN-GEN,Telangana,NIMS Hyderabad,HOSPITAL ADMINISTRATION,72000, 99969,5000000,1,1498
2,30193,Tel Govt-NS LOC,BCC-GEN,Telangana,Malla Reddy IMS Hyderabad,RADIO DIAGNOSIS,700000,Info not available,2000000,1,940
2,30205,Tel Govt-NS LOC,SC-FEM,Telangana,MNR Med Coll Sangareddy,GENERAL MEDICINE,700000,Info not available,2000000,1,760
2,30227,Tel Govt-NS LOC,BCE-FEM,Telangana,SVS Med Coll Mehboobnagar,OPHTHALMOLOGY,750000,Info not available,2000000,1,760
2,30276,Tel Govt-NS LOC,OPEN-FEM,Telangana,Kamineni (KAMSRC) Hyderabad,ORTHOPAEDICS,700000,Info not available,2000000,1,650
2,30306,Tel Govt-NS UNR,SC-GEN,Telangana,Osmania Med Coll Hyderabad,RADIATION ONCOLOGY,10000, 50686,2000000,1,4800
2,30372,Tel Govt-NS LOC,OPEN-GEN,Telangana,Dr Patnam MRInstofMSChevella,ORTHOPAEDICS,-,-,-,-,-
2,30373,Tel Govt-NS LOC,OPEN-GEN,Telangana,CAIMS Karimnagar,ANAESTHESIOLOGY,775000,Info not available,2000000,1,1000
2,30520,Tel Govt-NS LOC,OPEN-GEN,Telangana,SVS Med Coll Mehboobnagar,ANAESTHESIOLOGY,750000,Info not available,2000000,1,760
2,30521,Tel Govt-NS LOC,BCA-FEM,Telangana,RVM IMSRC Siddipet,GENERAL SURGERY,700000,Info not available,2000000,1,1110
2,30630,Tel Govt-NS LOC,BCB-FEM,Telangana,Osmania Med Coll Hyderabad,RADIATION ONCOLOGY,10000, 50686,2000000,1,4800
2,30780,Tel Govt-NS LOC,BCA-GEN,Telangana,Kamineni (KAMSRC) Hyderabad,ORTHOPAEDICS,700000,Info not available,2000000,1,650
2,30827,Tel Govt-NS LOC,BCC-FEM,Telangana,Govt Med Coll Nizamabad,ANAESTHESIOLOGY,10000, 50686,2000000,1,500
2,30909,Tel Govt-NS LOC,OPEN-GEN,Telangana,SVS Med Coll Mehboobnagar,ANAESTHESIOLOGY,750000,Info not available,2000000,1,760
2,30962,Tel Govt-NS LOC,SC-GEN,Telangana,Govt Med Coll Nizamabad,ANAESTHESIOLOGY,10000, 50686,2000000,1,500
2,30968,Tel Govt-NS LOC,OPEN-GEN,Telangana,CAIMS Karimnagar,ANAESTHESIOLOGY,775000,Info not available,2000000,1,1000
2,31024,Tel Govt-NS LOC,OPEN-GEN,Telangana,Bhaskar Med Coll Yenkapally,ANAESTHESIOLOGY,750000,Info not available,2000000,1,850
2,31105,Tel Govt-NS LOC,OPEN-GEN,Telangana,Osmania Med Coll Hyderabad,PATHOLOGY,10000, 50686,2000000,1,4800
2,31221,Tel Govt-NS LOC,MIN-FEM-MSM,Telangana,Shadan IMSRC Peerancheru,ENT,750000,Info not available,2000000,1,800
2,31270,Tel Govt-NS LOC,SC-FEM,Telangana,Surabhi InstituteofMSSiddipet,RADIO DIAGNOSIS,775000,Info not available,2000000,1,-
2,31278,Tel Govt-NS LOC,OPEN-GEN,Telangana,Kamineni IMS Narketpally,ANAESTHESIOLOGY,750000,Info not available,2000000,1,1060
2,31481,Tel Govt-NS LOC,BCB-GEN,Telangana,Kamineni IMS Narketpally,EMERGENCY MEDICINE,750000,Info not available,2000000,1,1060
2,31695,Tel Govt-NS LOC,SC-GEN,Telangana,Kakatiya Med Coll Warangal,ORTHOPAEDICS,10000, 50686,2000000,1,1150
2,31968,Tel Govt-NS LOC,OPEN-GEN,Telangana,Mediciti IMS Ghanpur,ANAESTHESIOLOGY,700000,Info not available,2000000,1,720
2,32001,Tel Govt-NS LOC,OPEN-FEM,Telangana,MNR Med Coll Sangareddy,ANAESTHESIOLOGY,700000,Info not available,2000000,1,760
2,32024,Tel Govt-NS LOC,SC-FEM,Telangana,Malla Reddy IMS Hyderabad,PAEDIATRICS,700000,Info not available,2000000,1,940
2,32070,Tel Govt-NS LOC,BCC-GEN,Telangana,ESIC Med CollSanath Nagar,SPM, 250000,107800,1000000,2,690
